,time,sector,camera,ccd,ra,dec,column,row,vmag,hmag
17,3814.8508007543765,92,1,2,286.4146286207593,-18.69559932600027,555.9641165853712,27.726678118823287,19.272604580524973,
18,3814.9008007541784,92,1,2,286.40564549756584,-18.695952151444335,556.0539762411261,29.290567223039226,19.271088021162324,
19,3814.950800754446,92,1,2,286.3966592758055,-18.69630578066282,556.1436739074604,30.854825415490296,19.269554203572476,
20,3815.000800754248,92,1,2,286.38767,-18.69666,556.2332463499002,32.41944001120537,19.268,
21,3815.0508007540498,92,1,2,286.3786776553972,-18.69701452816277,556.3227432240764,33.9844070354774,19.266423634024807,
22,3815.1008007543173,92,1,2,286.3696819911564,-18.697368813268866,556.412265743211,35.549757129294065,19.2648287347384,
23,3815.1508007541197,92,1,2,286.36068269766554,-18.69772223577884,556.5019279832054,37.11552955202503,19.26322028265506,
24,3815.2008007543877,92,1,2,286.35167946497654,-18.69807417616643,556.5918439937344,38.681763632845396,19.261603258229442,
25,3815.2508007541896,92,1,2,286.3426719834759,-18.698424014892215,556.6821277915877,40.248498654125434,19.25998264197622,
26,3815.300800753992,92,1,2,286.33365994329824,-18.698771132426646,556.7728933665373,41.8157739534973,19.258363414364887,
27,3815.35080075426,92,1,2,286.32464303457743,-18.699114909240063,556.8642546788667,43.38362888020248,19.256750555864997,
28,3815.400800754062,92,1,2,286.3156209476988,-18.69945472579321,556.9563256568243,44.952102751305205,19.255149046991143,
29,3815.45080075433,92,1,2,286.30659337271135,-18.699789962559553,557.049220202606,46.52123495392311,19.25356386819811,
30,3815.500800754132,92,1,2,286.29756,-18.70012,557.14305218551,48.09106482844434,19.252,
31,3815.550800753934,92,1,2,286.28852041045735,-18.70044421047042,557.2379387092709,49.66165047262921,19.250460793760013,
32,3815.6008007542014,92,1,2,286.279473748015,-18.70076193386871,557.3340098854741,51.23312478707658,19.248943084416318,
33,3815.6508007540033,92,1,2,286.2704190476152,-18.701072501969495,557.4313990330758,52.80563929722885,19.247442077842923,
34,3815.700800754271,92,1,2,286.2613553438608,-18.70137524655907,557.5302394213694,54.37934555010031,19.245952979857513,
35,3815.7508007540728,92,1,2,286.2522816716904,-18.70166949941235,557.6306642626323,55.95439499723591,19.24447099633356,
36,3815.800800753875,92,1,2,286.2431970657877,-18.701954592312706,557.7328067184428,57.53093909738074,19.242991333102903,
37,3815.8508007541427,92,1,2,286.23410056083446,-18.702229857043193,557.8367998968615,59.109129272739935,19.24150919599748,
38,3815.900800753945,92,1,2,286.2249911917657,-18.70249462537922,557.9427768493273,60.68911686492753,19.24001979089061,
39,3815.9508007542136,92,1,2,286.2158679931763,-18.70274822910622,558.050870577346,62.27105323803022,19.23851832360022,
40,3816.0008007540164,92,1,2,286.20673,-18.70299,558.1612140244139,63.855089661031016,19.237,
41,3816.050800753819,92,1,2,286.1975761829083,-18.70321930994855,558.2739341058331,65.4413893830323,19.235461190969588,
42,3816.100800754088,92,1,2,286.18840525654144,-18.70343569125952,558.3891337725896,67.0301634909479,19.233902927579162,
43,3816.1508007538914,92,1,2,286.17921587178427,-18.70363871633964,558.5069099353051,68.62163492350595,19.232327405990336,
44,3816.200800754161,92,1,2,286.170006679175,-18.703827957603426,558.6273594479719,70.21602659922095,19.230736822306387,
45,3816.250800753964,92,1,2,286.16077632959036,-18.704002987458104,558.7505790988248,71.8135612979181,19.229133372689528,
46,3816.300800753768,92,1,2,286.15152347364585,-18.704163378316245,558.8766656177177,73.41446176463332,19.227519253257586,
47,3816.3508007540368,92,1,2,286.14224676195255,-18.704308702589874,559.005715672485,75.01895066525235,19.225896660127987,
48,3816.40080075384,92,1,2,286.1329448453776,-18.704438532687025,559.137825864757,76.62725054151721,19.224267789463553,
49,3816.450800754109,92,1,2,286.12361637443917,-18.704552441020862,559.2730927379927,78.23958391573693,19.222634837366552,
50,3816.5008007539122,92,1,2,286.11426,-18.70465,559.4116127671396,79.8561731708762,19.221,
51,3816.5508007537146,92,1,2,286.1048745079536,-18.704730929730616,559.5534541785,81.47722067226924,19.219365442396487,
52,3816.600800753983,92,1,2,286.09545922536284,-18.70479554109543,559.6985723992146,83.10284877693007,19.217733205249502,
53,3816.650800753785,92,1,2,286.0860136148416,-18.704844292669755,559.8468946506486,84.73315974506156,19.21610529821333,
54,3816.700800754053,92,1,2,286.07653713864624,-18.70487764303102,559.9983481507903,86.36825583026595,19.21448373088157,
55,3816.750800753855,92,1,2,286.06702925937964,-18.704896050755096,560.1528601029977,88.00823915784072,19.212870512908324,
56,3816.800800753657,92,1,2,286.05748943937425,-18.70489997441888,560.310357705606,89.65321183098084,19.211267653902333,
57,3816.8508007539244,92,1,2,286.0479171409556,-18.704889872598695,560.470768147637,91.30327588505,19.209677163472733,
58,3816.9008007537263,92,1,2,286.03831182671144,-18.70486620387126,560.634018603984,92.95853324093052,19.208101051273037,
59,3816.9508007539944,92,1,2,286.0286729588668,-18.704829426812633,560.8000362457782,94.61908581248353,19.20654132689781,
60,3817.0008007537963,92,1,2,286.01900000000006,-18.70478,560.9687482280214,96.28503538285335,19.205,
61,3817.0508007535987,92,1,2,286.0092925452916,-18.70471840112738,561.1400761474923,97.95646124758116,19.203478039480203,
62,3817.1008007538667,92,1,2,285.99955072142103,-18.704645184359464,561.3139193912076,99.63335279299393,19.201972251404975,
63,3817.150800753669,92,1,2,285.98977478821075,-18.704560922980857,561.4901718091628,101.31567687649279,19.200478401174184,
64,3817.200800753937,92,1,2,285.9799650051138,-18.704466190273212,561.6687272813693,103.00340040530656,19.19899225413175,
65,3817.2508007537394,92,1,2,285.9701216319421,-18.704361559521526,561.8494797048878,104.69649021104911,19.197509575677174,
66,3817.3008007535414,92,1,2,285.96024492822744,-18.704247604008188,562.0323230055926,106.3949131595266,19.19602613116843,
67,3817.3508007538094,92,1,2,285.95033515349456,-18.70412489701524,562.2171511334159,108.09863610359669,19.19453768596347,
68,3817.4008007536113,92,1,2,285.94039256753865,-18.703994011828197,562.4038580572884,109.80762583538313,19.193040005461814,
69,3817.450800753879,92,1,2,285.93041742977914,-18.703855521727846,562.5923377773653,111.5218491971831,19.19152885500734,
70,3817.500800753681,92,1,2,285.92041,-18.70371,562.782484311298,113.2412729541386,19.19,
71,3817.550800753482,92,1,2,285.9103705709571,-18.703558005761177,562.9741936457982,114.96585786425113,19.188450399717144,
72,3817.600800753749,92,1,2,285.9002995684269,-18.703400041465905,563.1673695507806,116.69554051328083,19.186881789113446,
73,3817.65080075355,92,1,2,285.8901974517189,-18.70323659540769,563.3619177596688,118.43025140302726,19.185297097107036,
74,3817.700800753816,92,1,2,285.8800646797619,-18.703068155874067,563.5577440434851,120.16992110742356,19.18369925255732,
75,3817.750800753617,92,1,2,285.8699017118561,-18.702895211158754,563.7547541965798,121.91448014331672,19.182091184382976,
76,3817.8008007534177,92,1,2,285.85970900701335,-18.702718249550767,563.9528540495676,123.66385908370364,19.180475821458042,
77,3817.8508007536843,92,1,2,285.8494870242386,-18.702537759338988,564.1519494641035,125.41798850942709,19.17885609265631,
78,3817.9008007534853,92,1,2,285.83923622281685,-18.70235422881734,564.3519463274669,127.17679895986319,19.177234926896844,
79,3817.950800753752,92,1,2,285.82895706164595,-18.702168146273003,564.552750565749,128.9402210473989,19.175615253038384,
80,3818.0008007535534,92,1,2,285.81865,-18.70198,564.7542681291471,130.70818532642764,19.174,
81,3818.050800753355,92,1,2,285.8083154810136,-18.701790225831168,564.9564144647657,132.4806239644181,19.172391361686092,
82,3818.100800753622,92,1,2,285.79795388443074,-18.701599049775204,565.1591428852608,134.25747536542207,19.170788592123714,
83,3818.150800753424,92,1,2,285.78756557443415,-18.70140664539014,565.3624161766384,136.0386794586722,19.169190210415294,
84,3818.200800753692,92,1,2,285.77715091481537,-18.701213186226855,565.566197150912,137.82417625938723,19.1675947356036,
85,3818.2508007534943,92,1,2,285.76671026974856,-18.70101884584344,565.7704486310676,139.61390573613983,19.166000686790927,
86,3818.3008007532967,92,1,2,285.75624400311216,-18.700823797792545,565.975133464444,141.4078079272016,19.16440658303498,
87,3818.3508007535647,92,1,2,285.7457524787786,-18.700628215626832,566.1802145171637,143.20582289091325,19.162810943393467,
88,3818.400800753367,92,1,2,285.7352360609084,-18.700432272904408,566.3856546684935,145.00789065536378,19.161212286968674,
